word,frequency,pos,sentiment,stopword,headword,attribute
보험,2019,Noun,,,,
한다고,2018,Verb,,,,
상승세,2014,Noun,,,,
덧붙였다,2013,Verb,,,,
대감,2002,Noun,,,,
흐름,1995,Noun,,,,
코인,1993,Noun,,,,
새로운,1981,Adjective,,,,
변화,1979,Noun,,,,
다시,1976,Noun,,,,
앞,1976,Noun,,,,
별로,1974,Noun,,,,
요인,1972,Noun,,,,
헬,1963,Noun,,,,
특징,1958,Noun,,,,
이유,1956,Noun,,,,
모습,1955,Noun,,,,
일보,1955,Noun,,,,
연간,1954,Noun,,,,
자,1954,Noun,,,,
대형,1953,Noun,,,,
에코,1951,Noun,,,,
위험,1932,Noun,,,,
대표이사,1925,Noun,,,,
지난달,1924,Noun,,,,
대신,1923,Noun,,,,
있을,1904,Adjective,,,,
전장,1903,Noun,,,,
다음,1899,Noun,,,,
미래,1899,Noun,,,,
행사,1898,Noun,,,,
집중,1897,Noun,,,,
아니라,1895,Adjective,,,,
하게,1894,Verb,,,,
안,1894,Noun,,,,
하이,1893,Noun,,,,
↑,1892,Foreign,,,,
현금,1891,Noun,,,,
축소,1890,Noun,,,,
나온다,1880,Verb,,,,
최초,1871,Noun,,,,
보고서,1871,Noun,,,,
엠,1870,Noun,,,,
나타났다,1866,Verb,,,,
경기,1866,Noun,,,,
긍정,1859,Noun,,,,
지역,1857,Noun,,,,
돌파,1856,Noun,,,,
비교,1846,Noun,,,,
통한,1837,Noun,,,,
정,1837,Noun,,,,
종합,1831,Noun,,,,
확산,1827,Noun,,,,
제한,1825,Noun,,,,
외,1821,Noun,,,,
실제,1815,Noun,,,,
이,1812,Foreign,,,,
동안,1802,Noun,,,,
물가,1801,Noun,,,,
유럽,1801,Noun,,,,
확장,1797,Noun,,,,
김,1796,Noun,,,,
처음,1796,Noun,,,,
체인,1795,Noun,,,,
있도록,1792,Adjective,,,,
회의,1790,Noun,,,,
사회,1789,Noun,,,,
영상,1786,Noun,,,,
넘게,1782,Verb,,,,
수주,1778,Noun,,,,
하고,1776,Verb,,,,
비율,1769,Noun,,,,
측은,1767,Noun,,,,
자동차,1756,Noun,,,,
이슈,1754,Noun,,,,
콘텐츠,1754,Noun,,,,
했지만,1734,Verb,,,,
부,1733,Noun,,,,
모든,1732,Noun,,,,
차지,1729,Noun,,,,
했던,1727,Verb,,,,
사주,1723,Noun,,,,
상향,1719,Noun,,,,
차전지,1716,Verb,,,,
유입,1709,Noun,,,,
DB,1709,Alpha,,,,
정도,1707,Noun,,,,
초반,1702,Noun,,,,
물,1697,Foreign,,,,
과정,1696,Noun,,,,
매입,1695,Noun,,,,
주당,1692,Verb,,,,
초,1681,Noun,,,,
조기,1674,Noun,,,,
하나은행,1670,Noun,,,,
M,1664,Alpha,,,,
계속,1662,Noun,,,,
감사,1662,Noun,,,,
실질,1661,Noun,,,,
상장폐지,1657,Noun,,,,
가량,1655,Noun,,,,
도입,1654,Noun,,,,
부품,1653,Noun,,,,
마련,1652,Noun,,,,
검사,1647,Noun,,,,
속도,1640,Noun,,,,
p,1640,Alpha,,,,
제약,1629,Noun,,,,
못,1624,Noun,,,,
신청,1622,Noun,,,,
IT,1620,Alpha,,,,
개장,1615,Noun,,,,
자본,1609,Noun,,,,
더욱,1608,Noun,,,,
비롯,1605,Noun,,,,
경쟁력,1602,Noun,,,,
블록,1594,Noun,,,,
최,1593,Noun,,,,
보였다,1587,Verb,,,,
선물,1583,Noun,,,,
오미크론,1583,Noun,,,,
파트너,1582,Noun,,,,
본부,1579,Noun,,,,
구조,1578,Noun,,,,
올랐다,1578,Verb,,,,
자체,1574,Noun,,,,
대부분,1574,Noun,,,,
검토,1574,Noun,,,,
앞두고,1572,Verb,,,,
진출,1571,Noun,,,,
유통,1565,Noun,,,,
제보,1560,Noun,,,,
이전,1559,Noun,,,,
암호,1558,Noun,,,,
대선,1557,Noun,,,,
확정,1551,Noun,,,,
상태,1549,Noun,,,,
코스닥시장,1546,Noun,,,,
취득,1545,Noun,,,,
간,1544,Foreign,,,,
늘어난,1544,Verb,,,,
있습니다,1543,Adjective,,,,
공동,1543,Noun,,,,
사실,1542,Noun,,,,
프로비,1534,Noun,,,,
이벤트,1532,Noun,,,,
HDC,1530,Alpha,,,,
에프,1530,Noun,,,,
상반기,1524,Noun,,,,
게,1518,Noun,,,,
팀,1518,Noun,,,,
완화,1517,Noun,,,,
중구,1513,Noun,,,,
보호,1511,Noun,,,,
소액,1504,Noun,,,,
제외,1502,Noun,,,,
지급,1502,Noun,,,,
아이,1502,Noun,,,,
시점,1502,Noun,,,,
되며,1501,Verb,,,,
올,1499,Verb,,,,
업,1499,Noun,,,,
단계,1498,Noun,,,,
사고,1493,Noun,,,,
없다,1492,Adjective,,,,
풀이,1490,Noun,,,,
이용,1489,Noun,,,,
해,1488,Noun,,,,
브랜드,1488,Noun,,,,
새해,1485,Noun,,,,
황,1485,Noun,,,,
받고,1476,Verb,,,,
네이버,1472,Noun,,,,
